,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA),90292.4,220953.7,7760.6,18210.9,5795.2,14265.1,5393.3,15203.6,11386.9,13657.7,17791.1,26322.3,11892.6,10996.8,7193.2,22012.5,7302.3,12355.5,5470.1,17956.4,3350.4,30882.5,2974.8,19783.1,3982.1,19307.2
INDUSTRIAS AGROPECUARIAS,70733,2626.5,2491.2,84.5,3588.5,98.3,5171.2,5.7,7025.7,91.8,11470.1,199.5,11310.1,33.2,7120.8,157.4,7171.5,90.9,5456.7,148.7,3174,491,2961.9,426.1,3791.1,799.4
ANIMALES VIVOS DIVERSOS,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0
AVES DE CORRAL VIVAS,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES",293.1,504.6,32.2,8.3,0,25.2,0,0,30.3,76,12.9,25.6,20.3,8.6,17.3,57.8,6.9,72.8,7,27.6,25.3,94,32.9,82.3,108.1,26.4
CAFE,61202.1,0,2073.2,0,2772.9,0,4161.6,0,6228,0,10945.4,0,10529.2,0,5932.7,0,6619.5,0,5321,0,2260.8,0,1814.2,0,2543.6,0
CAUCHO NATURAL (HULE),5497.5,440.3,346,2.6,596.1,50.2,786.3,0,633.1,0,464.7,137,663.9,2.3,0,54.8,0,0,0,0,775,68.3,731.1,0,501.4,125.2
CEBOLLA,0,1435.9,0,50.3,0,18.9,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,291.2,0,333.4,0,636.1
FRIJOL,35.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,26.5,0
"FRUTAS FRESCAS, SECAS O CONGELADAS",42.9,66.3,0,0,28.8,0,14,0,0,0,0,16.7,0,22.3,0,27.3,0,0,0,0,0,0,0,0,0,0
LEGUMBRES Y HORTALIZAS,530.8,0,6,0,190.7,0,53.8,0,134.3,0,47.1,0,0,0,24.9,0,34.5,0,0,0,0,0,22.6,0,16.9,0
MIEL DE ABEJAS,63.2,0,0,0,0,0,0,0,0,0,0,0,63.2,0,0,0,0,0,0,0,0,0,0,0,0,0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL,0,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,0,0,0,4.7
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA",0,155.9,0,23.4,0,4.1,0,5.7,0,15.8,0,20.2,0,0,0,6.9,0,18.1,0,15.2,0,29.2,0,10.4,0,7
SEMILLA DE AJONJOLI,134.9,0,33.9,0,0,0,34,0,0,0,0,0,33.5,0,0,0,33.5,0,0,0,0,0,0,0,0,0
TABACO EN RAMA O SIN ELABORAR,2932.9,0,0,0,0,0,121.4,0,0,0,0,0,0,0,1146,0,477,0,128.7,0,112.9,0,352.3,0,594.6,0
INDUSTRIAS EXTRACTIVAS,17434,55991.5,5149.7,2663.1,2042.1,4546.8,0,5229.2,4175.7,3693.9,6061.4,5993,5.1,1402.6,0,7559.2,0,3463.4,0,4056.3,0,6336.2,0,3872.9,0,7174.8
ALUMINIO,0.8,51956.6,0,2277,0,4426.3,0,4847.2,0,3610.8,0,5465.7,0.8,1141.1,0,7192.2,0,3417.5,0,3163.7,0,5973.6,0,3652.9,0,6788.4
COBRE Y SUS MANUFACTURAS,1,285.9,0,49.1,0,0,0,143.1,0,0,0,14.1,1,0,0,17.3,0,0,0,37.3,0,0,0,25.1,0,0
GASES INDUSTRIALES,0,40.3,0,19.8,0,0,0,0,0,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GASOLINA,0,17,0,0,0,0,0,0,0,0,0,3.5,0,0,0,3.8,0,0,0,4.2,0,5.5,0,0,0,0
HIERRO Y ACERO,3.3,1774.6,0,73.3,0,26.4,0,103.1,0,0.1,0,320.1,3.3,66.6,0,98.9,0,45.9,0,644.3,0,174.9,0,114.2,0,106.8
MAGNESIO,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIQUEL,0,28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5,0,0,0,0,0,0,0,0,0,0
OTROS DERIVADOS DE PETROLEO,0,1872.8,0,243.8,0,94.1,0,135.8,0,56.3,0,189.5,0,194.9,0,209.3,0,0,0,206.8,0,182.2,0,80.7,0,279.6
OTROS METALES COMUNES,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,0,0,0,0,0,0,0,0,0,0
PLOMO,17399.4,0,5120.3,0,2042.1,0,0,0,4175.7,0,6061.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRODUCTOS MINERALES DIVERSOS,0,6.4,0,0.1,0,0,0,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZINC,29.4,0,29.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INDUSTRIAS MANUFACTURERAS,2125.5,162335.7,119.7,15463.2,164.6,9620,222,9968.7,185.4,9872.1,259.7,20129.7,577.3,9561,72.4,14296,130.8,8801.3,13.4,13751.3,176.3,24055.4,12.9,15484.1,191,11333
ABONOS Y FERTILIZANTES,0,2271.9,0,144.1,0,26.6,0,437.4,0,13.3,0,171.7,0,169,0,253.1,0,689.4,0,51.5,0,172.2,0,26.9,0,116.8
ALIMENTOS PREPARADOS PARA ANIMALES,0,904,0,0,0,33.7,0,68.4,0,97.8,0,64.5,0,117.2,0,1,0,19.7,0,176,0,196.1,0,19.1,0,110.3
APARATOS ELECTROMECANICOS DE USO DOMESTICO,0,2560.6,0,0.6,0,8,0,60,0,113.9,0,19.8,0,323.7,0,25.8,0,40.1,0,33.7,0,1873.4,0,44.2,0,17.3
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO,0,39.5,0,0,0,1.1,0,5.4,0,9.5,0,0,0,0,0,4.6,0,2.8,0,4.1,0,5.6,0,0.7,0,5.6
APARATOS TRANSMISORES Y RECEPTORES,0,13.3,0,0,0,0,0,0,0,0.4,0,11.1,0,0,0,0,0,0,0,0,0,0.7,0,0.1,0,0.9
ARTICULOS DE VESTUARIO,144.5,70.9,0,2.7,88.6,0.3,0.1,0.2,0.9,1.1,0,23.7,0,7.7,10,0.3,28.5,0.1,0,10.5,3.5,20.7,0,2.7,12.7,0.9
AZUCAR,33.7,7.8,0,0,0,0,0,0,0,0,14.6,0,0,7.8,0,0,0,0,0,0,0,0,0,0,19.1,0
AZUCARES Y ARTICULOS DE CONFITERIA,0,810.7,0,0.1,0,27.4,0,118.4,0,57.9,0,12.3,0,22.6,0,62.4,0,11.6,0,128.3,0,200.1,0,119.6,0,49.9
BATERIAS ELECTRICAS,0,35.5,0,0,0,2.2,0,7.3,0,22.8,0,0.3,0,0,0,2.5,0,0,0,0,0,0,0,0.4,0,0
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES,0,299.4,0,28,0,12.5,0,55.9,0,14,0,0,0,43.4,0,28.3,0,0,0,18.5,0,25.4,0,48.4,0,25.1
CAFE SOLUBLE Y MOLIDO,0,45.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.7,0,0,0,0,0,0
CALZADO,0,65.1,0,0.9,0,0,0,0,0,0,0,10.1,0,1.6,0,33.2,0,0.9,0,2.9,0,0,0,15.6,0,0
CERAS,0,182,0,30.7,0,0,0,13.5,0,0,0,25.6,0,35.3,0,5.7,0,3.2,0,3.3,0,24.5,0,39.9,0,0
CLAVOS Y TORNILLOS,0.5,74.6,0,48.1,0,4.1,0,0.6,0,0.6,0,4.2,0.5,10.4,0,1.8,0,0.7,0,1,0,1.7,0,1,0,0.4
DETERGENTES Y JABONES,0,1736.2,0,133.5,0,77,0,136.9,0,137.9,0,268.1,0,211.7,0,244.5,0,68.9,0,16,0,30.6,0,191.5,0,219.4
"DISCOS, MATRICES Y CINTAS (DE GRABACION)",0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0
GLICERINA CRUDA,0,2.1,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
