,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones
GLICERINA CRUDA,0,6,0,0,0,1.8,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRASAS Y ACEITES COMESTIBLES,352.6,600.7,0,69.6,0,15.2,0,38.5,51.8,98.7,51.8,65.4,51.8,104.4,0,12.9,50.2,144,0,0,50.2,0,47.8,15.1,49.1,36.9
HARINAS DE CEREALES,0,8930.9,0,0,0,0,0,55.8,0,2993.3,0,0,0,2979.1,0,0,0,0,0,0,0,0,0,1501.4,0,1401.2
HERRAMIENTAS ARTICULOS DE CUCHILLERIA,0,862.6,0,110.1,0,45.7,0,59.7,0,63.7,0,35.5,0,95.4,0,78.6,0,72.9,0,30,0,20.2,0,239.6,0,11.2
HILOS E HILAZAS,0,778.8,0,7.5,0,47,0,17.6,0,41.1,0,72.5,0,46.4,0,36.1,0,70.4,0,46.8,0,259.8,0,84.7,0,49.1
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES",0,23433.4,0,983.3,0,706.3,0,1498.3,0,705.3,0,2220.1,0,2054.7,0,994.3,0,5186.9,0,4968.7,0,2139.5,0,1734.3,0,241.8
INSTRUMENTAL MEDICO Y OTROS,0.3,3398.7,0,112,0,27.7,0,1857.1,0,98.4,0.3,229,0,163.4,0,260.3,0,215.5,0,126,0,102.9,0,132.7,0,73.9
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES",4.5,188,0,0,1,0.1,0.2,1,0,0.2,0.2,17.2,0,143.9,3.2,0,0,0,0,0.3,0,0.3,0,8,0,17.1
LAMINA Y ALAMBRE,0,1950.9,0,749.1,0,254.4,0,506,0,138.5,0,57.7,0,6.3,0,115.2,0,24.5,0,2.9,0,0.1,0,0,0,96.2
LECHE Y OTROS PRODUCTOS LACTEOS,0,1533.7,0,153.3,0,836.2,0,26.7,0,26.2,0,106.3,0,27,0,0,0,75.4,0,170.4,0,85.7,0,26.5,0,0
MANUFACTURAS DE CAUCHO,1,408.7,0,13.2,0,23.7,0,15.7,0,60.9,1,41.6,0,46.4,0,12.8,0,56.9,0,46,0,54.8,0,28.2,0,8.3
MANUFACTURAS DE CERAMICA,1.2,476.8,0,162,0,188.4,1.1,0,0,0,0,1.6,0,0,0,27.9,0,0,0,0.4,0,33.3,0,18.2,0,44.8
MANUFACTURAS DE CUERO,0,8.9,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0.2,0,0
MANUFACTURAS DE MADERA,0.1,158.5,0,22.7,0,0,0,8.2,0,0.1,0,27.6,0.1,2.5,0,0.5,0,27.4,0,0,0,34.1,0,16.4,0,18.9
MANUFACTURAS DE PAPEL Y CARTON,23.8,1172.7,0,115.7,0,7.4,0,209.1,1.5,164,1.9,6,0,25.4,3.1,3.8,6.6,137,7.3,84.5,0,122.5,3.1,9.7,0.2,287.7
"MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC",0,125.1,0,0,0,0,0,10.3,0,0,0,0,0,108.6,0,0.3,0,3.1,0,2.7,0,0,0,0.2,0,0
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS,1.9,0.3,0,0,1.1,0,0,0,0,0,0,0,0,0,0.8,0.3,0,0,0,0,0,0,0,0,0,0
MANUFACTURAS DE PIELES,0,28,0,0,0,0,0,0,0,2.2,0,0,0,0,0,1.8,0,0,0,0,0,16.4,0,7.5,0,0
MANUFACTURAS DIVERSAS,13.2,2098.3,0,44.5,0,41.6,0,78.2,0.1,49.5,0.8,97.8,0.3,363,0,387.3,12,206.5,0,440.3,0,68.3,0,158.2,0,163.2
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS,451.5,16725.5,0,3063.7,0,568.8,0,1855.5,0,665.4,0.5,986.4,0,773.4,0,1127.8,451,896,0,2129.5,0,2183.1,0,2064.1,0,412
MATERIALES PLASTICOS Y SUS MANUFACTURAS,565.3,4258.2,56.6,435.6,1.7,212.3,103,98.1,170.4,18.5,60,440.1,59.5,570.4,1.6,227.4,51.7,239.7,0.4,512.6,0.3,558.6,59.4,711.6,0.5,233.2
MATERIALES TEXTILES (TEJIDOS O TELAS),1.3,960.4,0,10.7,0,16.1,0,2.5,0,10.8,0,45.2,0,1.5,0,35.2,0,142.9,0,48.9,1.1,264,0,372.6,0.1,10.1
MELAZAS DE AZUCAR,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC.",1,150.3,0,7.4,0,18.7,0,38.8,0,1.8,0.2,9.4,0,39.8,0,0.3,0.3,6.5,0.4,3.5,0,11.2,0,4.3,0.1,8.5
NEUMATICOS Y TUBOS,0,266.3,0,0,0,0,0,80.3,0,57.8,0,0,0,0,0,0,0,0,0,22.1,0,0,0,21.4,0,84.7
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES",1.4,1,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0.2,0,0.5,0,0,0.2,0,0.8,0,0
OTRAS MANUFACTURAS DE METALES COMUNES,88.9,1740.5,1.4,29.5,0,116.4,0,4.8,0,105.6,0.8,212,0,47.7,0,22.8,86,1036.7,0.6,24,0,17.4,0,5.2,0.1,118.4
OTROS ACEITES ESENCIALES,0,1.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0
PAPEL Y CARTON,0,786.2,0,15.7,0,147,0,16,0,54.5,0,17.5,0,118.7,0,46.7,0,16.8,0,64.3,0,66.3,0,135.7,0,86.9
PINTURAS Y BARNICES,0,3262.3,0,322.2,0,395.5,0,189.6,0,179.1,0,108.3,0,232.5,0,375.2,0,515.7,0,134.1,0,252.5,0,203,0,354.6
PREPARADOS A BASE DE CEREALES,0,1646.4,0,132.4,0,178.7,0,167.4,0,102.3,0,303.6,0,26.4,0,125.3,0,183.5,0,89.3,0,74.5,0,165.6,0,97.3
"PREPARADOS DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS",23.7,86.7,0,0,0,0,0,0,0,28.9,0,0,0,0.1,0,0,0,0,0,28.8,0,0,0,28.9,23.7,0
PREPARADOS DE LEGUMBRES Y HORTALIZAS,84.2,752.6,0,63.1,0,72.5,0,47.4,0,46.9,0,45,0,72.6,0,41.6,0,117.9,0,41.1,47.2,66.9,37,70.2,0,67.5
PREPARADOS DE FRUTAS,669.2,1.9,94.2,0,95.3,0,70.5,0,187,0,95.3,0,110.6,0,0,0,8.2,0,0,1.9,8,0,0,0,0,0
"PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS",0,2005.2,0,28.6,0,371.2,0,91.7,0,202.4,0,81.8,0,487.2,0,230.2,0,82.2,0,2.2,0,393.6,0,22.7,0,11.5
PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA,9.8,34852.2,9.8,3817.8,0,1135.2,0,2729.4,0,2335.1,0,2429.2,0,1180.7,0,4288.6,0,6299.1,0,2039.9,0,3359.2,0,2258.1,0,2979.8
PRODUCTOS FARMACEUTICOS,0.2,28854.7,0,516.6,0,89.8,0,270.7,0,601,0,2963.9,0,7437,0,9171.6,0,740.1,0.2,426.2,0,2894.2,0,3361.4,0,382.2
PRODUCTOS FOTOGRAFICOS Y CINEMATOGRAFICOS,0,1844.3,0,97.5,0,36.9,0,151.9,0,207.6,0,73.9,0,234.6,0,252,0,30,0,269.8,0,265,0,177.5,0,47.6
"ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O",17.7,189.1,0,0,6.4,17.7,0,31.9,2.8,40.6,0,66.9,0.1,15.8,0,0.1,1.9,0,0,0,0,0.7,6.5,15.5,0,0
"SALSAS, CONDIMENTOS Y SAZONADORES COMPUESTOS",0.4,143.1,0,28.9,0,0,0,0,0,0,0,28.6,0,0,0,0,0,43,0,28.3,0,0,0,14.2,0.4,0
