,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
TOTAL,88893.2,44673.1,7444.3,2968,6869.6,4172.3,9004.5,7251.3,5416.6,7579.2,6205.4,2925.5,13184.2,3280.1,9489.6,3022,7838.5,6378.2,5484.8,2231.3,4322.2,841,5548.3,2085.2,8085.1,1939
INDUSTRIAS AGROPECUARIAS,646.5,35305.4,12.2,2748,66.4,4034.5,65,4485.6,28.4,4767.2,149.1,2823.8,0,3245.2,15.8,2983.5,174.3,3327.7,40.4,2116.9,27.7,786.1,21.5,2083.7,45.7,1903.4
BANANO,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES",37.8,92,0,8.4,0,3.5,13.4,7.2,0,10.7,0,6.4,0,7,0,0,5.8,24.3,0,7,0,10.5,18.6,3.5,0,3.5
CAFE,0,28559.3,0,2181,0,3303.5,0,3359.3,0,3868.2,0,2202.5,0,3036,0,2733.8,0,3090.7,0,1848.6,0,462.1,0,1817.7,0,655.8
CARDAMOMO,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAUCHO NATURAL (HULE),162.4,1164.5,0,0,0,0,24.4,168.9,0,85,0,89,0,0,0,0,99.5,49.2,0,28.6,0,204.3,0,129.5,38.5,410.1
ESPECIAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLORES Y FOLLAJES,0,2150.9,0,89.6,0,247.7,0,360.9,0,195.8,0,128.4,0,116.3,0,175.2,0,112.2,0,151.7,0,86.2,0,37.9,0,449
FRIJOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRUTAS FRESCAS, SECAS O CONGELADAS",0,858.5,0,126.9,0,114.6,0,63.5,0,254.7,0,143.7,0,0,0,31.7,0,51.2,0,0,0,0,0,10.2,0,61.9
LEGUMBRES Y HORTALIZAS,0,2167.5,0,325.1,0,365.2,0,525.8,0,298.7,0,253.8,0,0,0,0,0,0,0,19.9,0,23,0,32.9,0,323.1
MAIZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIEL DE ABEJAS,0,225.3,0,0,0,0,0,0,0,54.1,0,0,0,67.3,0,42.8,0,0,0,61.2,0,0,0,0,0,0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL,141.6,0,4.9,0,2.4,0,12.6,0,28.4,0,2.6,0,0,0,15.8,0,27.9,0,40.4,0,3.7,0,2.9,0,0,0
PAPA,32.1,0,7.3,0,0,0,10.3,0,0,0,0,0,0,0,0,0,7.3,0,0,0,0,0,0,0,7.3,0
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA",141.2,0,0,0,63.9,0,4.3,0,0,0,15.2,0,0,0,0,0,33.9,0,0,0,24,0,0,0,0,0
SEMILLA DE AJONJOLI,0,18.5,0,0,0,0,0,0,0,0,0,0,0,18.5,0,0,0,0,0,0,0,0,0,0,0,0
TABACO EN RAMA O SIN ELABORAR,131.3,0,0,0,0,0,0,0,0,0,131.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INDUSTRIAS MANUFACTURERAS,84296.9,9334.1,7070.6,220,6558.2,137.9,8504.1,2765.7,4594.7,2812.1,5792.6,101.8,12873,1.4,9141.5,38.5,7596.3,3050.5,5301,114.3,4284.9,54.9,4826.9,1.5,7753.1,35.6
ABONOS Y FERTILIZANTES,8715.1,0,166.5,0,126,0,155.1,0,110.7,0,110.7,0,1413.4,0,3900.6,0,0.1,0,90,0,204.3,0,90,0,2347.9,0
ALIMENTOS PREPARADOS PARA ANIMALES,75.1,13.8,0,0,0,0,10.5,0,0,0,0,0,14.9,0,14,0,3.4,0,28.4,13.8,0,0,0,0,3.9,0
APARATOS ELECTROMECANICOS DE USO DOMESTICO,20.5,0.7,0.2,0,0,0,0,0,1.1,0,4.6,0,0.2,0.1,1.2,0.2,3.5,0,7.3,0,2.1,0.3,0,0,0.3,0.1
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO,106.2,1,2.6,0,0,0.2,0,0,0.1,0,0,0,0,0,14.9,0.4,87.2,0,0.8,0,0.4,0.4,0,0,0.3,0
APARATOS TRANSMISORES Y RECEPTORES,696,0.6,5.5,0,0,0,10.7,0,0.3,0,0,0,0,0,157.5,0.2,518.1,0,1.2,0.1,1,0.2,0,0,1.8,0
ARMAS Y MUNICIONES,2.9,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTICULOS DE VESTUARIO,68.4,314.6,0.5,0,0.3,0,17,301.4,0.4,0,2.5,0,6,0,1.5,13.1,0,0,6.9,0,17.7,0,14,0,1.6,0
AZUCAR,0,517.8,0,219.7,0,99.4,0,0,0,0,0,99.4,0,0,0,0,0,0,0,99.4,0,0,0,0,0,0
AZUCARES Y ARTICULOS DE CONFITERIA,94.8,0,11,0,0,0,0,0,9.5,0,42.9,0,0,0,0,0,0,0,0,0,17,0,3,0,11.3,0
BATERIAS ELECTRICAS,294.6,0,0.9,0,0.2,0,154.4,0,5.6,0,0.3,0,0.2,0,131.4,0,0.3,0,0.3,0,0.4,0,0.6,0,0,0
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES,334.1,7987.2,19.2,0,38.3,0,32.2,2463.4,35.1,2473.8,25.6,0,84.4,0,0,0,0,3050,41.1,0,32.5,0,25.6,0,0,0
CAFE SOLUBLE Y MOLIDO,0,0.4,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALZADO,23.8,0.8,0,0,0,0.1,0.2,0,0,0,0,0,9.1,0.2,0,0.2,7.5,0,0.9,0.2,0.7,0.1,0.1,0,5.3,0
CERAS,53.4,0,0.7,0,0,0,6,0,0,0,7.3,0,0,0,0,0,1.5,0,18.1,0,0.8,0,1,0,18.1,0
CLAVOS Y TORNILLOS,99.1,0,0.2,0,7.2,0,11.2,0,34.5,0,7.9,0,2,0,2.5,0,7.2,0,7,0,18.4,0,0.3,0,0.8,0
DETERGENTES Y JABONES,1000.3,0.8,86.3,0,12,0,100.6,0,43.3,0,76,0.7,48,0,114.2,0,267.6,0,51.2,0,122.4,0,72.8,0,6,0
"DISCOS, MATRICES Y CINTAS (DE GRABACION)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRASAS Y ACEITES COMESTIBLES,56.9,0,4.8,0,0,0,4.5,0,9.4,0,0,0,16.6,0,0,0,0,0,0,0,0,0,18,0,3.6,0
HARINAS DE CEREALES,3740.2,0,0,0,0,0,0,0,21.6,0,0,0,0,0,15.7,0,0,0,1810.7,0,0,0,1892.2,0,0,0
HERRAMIENTAS ARTICULOS DE CUCHILLERIA,138.2,0.1,13.1,0,9.3,0,6.2,0,18.3,0,29.5,0,2.6,0,11.8,0,7.2,0,3.9,0,20.7,0,15.7,0,0,0
HILOS E HILAZAS,141.7,0,0,0,0,0,56.2,0,12.3,0,0,0,0,0,0,0,43.1,0,0,0,0,0,30.1,0,0,0
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES",7703.6,19.1,772.4,0,738.1,0,884.7,0,936.7,0,1290,0,590.3,0,848.1,0,530.5,0,516.5,0,296.1,19.1,60.4,0,239.8,0
INSTRUMENTAL MEDICO Y OTROS,705.2,0.2,18.8,0,146.6,0,12.8,0,37.6,0,87.6,0,83.1,0.1,14,0,62.6,0,59.7,0,14.9,0.2,90.9,0,76.6,0
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES",49.8,3.4,0.1,0,0,0,14,0,0,0,0,0,1.5,0,0.8,3.3,12.3,0,1.3,0,12,0,0.4,0,7.5,0
LAMINA Y ALAMBRE,552.1,0,365,0,132.4,0,21.8,0,0.6,0,0.5,0,2.6,0,0.4,0,0.7,0,1.2,0,0.5,0,5.9,0,20.5,0
LECHE Y OTROS PRODUCTOS LACTEOS,636.3,0,87.5,0,86.4,0,5.9,0,3.5,0,40.4,0,103.1,0,61.1,0,42.9,0,5.5,0,135.2,0,10,0,54.8,0
MADERA EN TROZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANUFACTURAS DE CAUCHO,384.6,0,1.4,0,25.2,0,53.5,0,32.5,0,47.7,0,11.2,0,89.1,0,69,0,13.8,0,20.8,0,16,0,4.4,0
MANUFACTURAS DE CERAMICA,1347.8,0.8,169.2,0.1,0.4,0,0,0,0.8,0,57.5,0,0.1,0.2,0,0.2,1031.2,0,6.9,0.1,10.5,0.1,0,0,71.3,0.1
MANUFACTURAS DE CUERO,13.2,0,0,0,0,0,0,0,0,0,0,0,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0
MANUFACTURAS DE MADERA,126.1,0.5,0,0,20,0.1,0,0,0.5,0,1.8,0.1,19.7,0,0.1,0.2,0,0,10.8,0,45.5,0.1,11.5,0,16.2,0
MANUFACTURAS DE PAPEL Y CARTON,461.9,3.9,52.1,0,5.2,3.6,5.8,0,12.7,0,90.3,0,53,0,42.8,0.1,51.1,0,13,0,39.7,0.1,56.4,0,39.9,0
"MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC",54.8,0,0,0,0,0,5.4,0,0,0,0,0,23.7,0,0,0,24.5,0,0,0,1.2,0,0,0,0,0
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS,8.4,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.6,0,4.6,0,3,0
MANUFACTURAS DIVERSAS,1145.6,65.2,41.2,0,405.7,0.1,142,0,149.6,0,6,0,23.2,0,33.8,16.7,93.1,0,44.5,0,80.6,13.6,68.8,0,57.1,34.8
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS,17099.7,5.4,2090.6,0,660.8,0,1195.5,0,891.2,3.9,558.8,0,8350.4,0,451.3,0.5,831.5,0.5,370.1,0.1,553.9,0.2,356.6,0,789.2,0.1
MATERIALES PLASTICOS Y SUS MANUFACTURAS,4393,33.1,164.2,0,579.8,32.7,852.2,0,345.7,0,198.1,0,390.1,0.1,369.7,0.2,462.1,0,341.2,0,339.8,0.2,172.7,0,177.3,0
MATERIALES TEXTILES (TEJIDOS O TELAS),506.1,1,39,0,43.4,0.1,79.7,0,5.5,0,0.1,0,55.8,0.2,2.4,0.4,49.4,0,0,0.1,113.3,0.2,6.2,0,111.4,0
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC.",99.5,3.1,2.2,0,9,0.5,5.7,0,6.1,0,5.8,0,2.3,0.4,18.6,1.5,1.2,0,30.3,0.1,12.2,0.6,5.1,0,1.1,0.1
NEUMATICOS Y TUBOS,209.8,0,8.9,0,21.6,0,19.2,0,14.8,0,15.3,0,7.8,0,23.4,0,0,0,39.8,0,8.2,0,37.2,0,13.7,0
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES",6.9,0.5,0,0,1.3,0.1,0.4,0,0.4,0,0.5,0,0,0.1,1.7,0.1,0,0,0.6,0,2,0.1,0,0,0,0.1
OTRAS MANUFACTURAS DE METALES COMUNES,817.1,1.4,86.7,0.1,88.7,0.4,80.1,0,75.4,0,10.9,0,19.4,0,65.6,0.1,77.1,0,12.4,0.1,186.8,0.1,70.7,0.5,43.3,0.1
OTROS ACEITES ESENCIALES,55.1,3,0,0,0,0.4,0.5,0.8,3.4,0.8,0,0,0,0,0,0.5,51.3,0,0,0,0,0,0,0.4,0,0
PAPEL Y CARTON,746.2,0,52.1,0,13.5,0,236.4,0,0,0,23.5,0,66.4,0,59.5,0,66.1,0,50.7,0,132,0,23,0,23,0
PINTURAS Y BARNICES,1182.5,0,150.4,0,126.2,0,105,0,107.7,0,29.4,0,132.4,0,121.3,0,144.6,0,12,0,74.6,0,82.6,0,96.4,0
PREPARADOS A BASE DE CEREALES,1500.9,0.1,0,0,0,0,182.8,0,0,0,165.9,0,119.3,0,176.8,0,409.2,0,173.8,0,0,0.1,137.7,0,135.4,0
