,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA),153555,75054.5,18438.7,4584.7,22360.5,7153.9,7464,7992.4,9228.7,8666.5,10640.7,9707.1,17299.7,6461,13705,8554.8,14828.1,5644.7,7790.5,5554.3,11829.2,3836.6,11365.2,3293.5,8604.8,3605
INDUSTRIAS AGROPECUARIAS,1262.6,73195.8,197.1,4468.2,26.9,7094.7,85.2,7848.8,139.8,8563.1,24,9625,82.8,6401,23.1,8452.6,115.6,5452.1,141.7,5485.2,65,3626.6,194.5,3259.7,166.9,2918.6
ANIMALES VIVOS DIVERSOS,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES",144.9,7.2,0,0,26.8,6.5,0,0,53,0,0,0,0,0,0,0.7,29.4,0,0,0,0,0,0,0,35.7,0
CAFE,0,57761.3,0,3296.9,0,5127.8,0,5898.5,0,6985.9,0,8536.9,0,6058.2,0,6710.9,0,4271.3,0,3907.4,0,2820.3,0,2439.8,0,1707.8
CAUCHO NATURAL (HULE),507.8,3043.1,88.3,280.4,0,276.8,85.2,352.2,86.8,233.6,0.8,63.4,82.8,0,4.2,523.7,81.8,350.1,77.1,140.4,0,438.8,0.7,204.6,0,179.1
CEBOLLA,34.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.8,0,0,0
FLORES Y FOLLAJES,0,865.5,0,23.9,0,19.2,0,76.4,0,76.4,0,53.1,0,72.5,0,98,0,123.6,0,110.8,0,97.1,0,101.6,0,13
FRIJOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRUTAS FRESCAS, SECAS O CONGELADAS",0,2121.3,0,0,0,0,0,35.4,0,224.9,0,378.6,0,270.3,0,270.3,0,326.3,0,270.5,0,270.4,0,0,0,74.4
LEGUMBRES Y HORTALIZAS,402.8,6998.4,27,867.1,0,1584.5,0,1486.4,0,1042.4,0,580.4,0,0,18.9,0,0,0,39,34,61.9,0,129,459.3,127,944.3
MIEL DE ABEJAS,0,197.9,0,0,0,67.3,0,0,0,0,0,0,0,0,0,0,0,65.3,0,65.3,0,0,0,0,0,0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA",168.1,0,81.8,0,0,0,0,0,0,0,23.1,0,0,0,0,0,4.4,0,25.6,0,3.1,0,30.1,0,0,0
SEMILLA DE AJONJOLI,0,136.6,0,0,0,12.7,0,0,0,0,0,12.7,0,0,0,55.7,0,55.7,0,0,0,0,0,0,0,0
TABACO EN RAMA O SIN ELABORAR,0,2064.6,0,0,0,0,0,0,0,0,0,0,0,0,0,793.3,0,259.9,0,956.9,0,0,0,54.4,0,0
