	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
APARATOS ELECTROMECANICOS DE USO DOMESTICO	18480.6	1156	1475.7	32.1	1892	24.4	1287.3	4.2	1338.2	0	1778.5	270.5	1389.9	57.7	887.3	71.7	1587.5	85.2	1752.5	123.5	1810.1	89.9	1411.4	182.5	1870.3	214.3
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO	47.8	25	0.1	6.7	0.7	0.1	2.9	0.1	0.4	0	0.1	0.5	0	0.5	0.7	0.2	0	0.1	15.5	0.3	0	0.2	15.5	16.2	11.8	0
APARATOS TRANSMISORES Y RECEPTORES	703.1	190	24.8	30	3.6	0.5	8.6	7.3	26.6	0	18.9	12.3	93	17.1	268.3	0.7	21.5	29.5	60.3	4.8	39.4	12.6	82.7	59.8	55.4	15.3
ARTICULOS DE VESTUARIO	1965.7	1965.7	53.5	141.7	109.8	71.1	188.5	148.2	75.4	51.8	140.8	301.4	114	102.5	93.8	110.8	174.1	154.5	198	64.5	340.1	203.1	307.2	415.5	170.6	200.6
AZUCARES Y ARTICULOS DE CONFITERIA	2490.6	5195	284.8	179	189.8	444.6	184.1	516.2	146.5	251.1	246.1	583.1	130.7	436.8	162.9	460.8	304.8	551	218.3	492.7	319.1	351.4	145.4	469.2	158.1	459.2
BATERIAS ELECTRICAS	1673.5	1075	129.8	113.2	116.9	52.5	127	59	109.3	17.7	163.4	29.7	155.1	69.6	11.4	87.9	16.7	72.8	91	106.5	229.2	150.6	274.1	147.9	249.7	167.6
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES	30924.6	1371.5	2545.1	85.4	2585	99.2	3991.7	105.9	1036	98.4	2317.1	146.1	2083.1	122.4	2949.7	37.5	2800.9	122.5	1980.8	176.9	3230.3	147.8	3370.6	156.1	2034.3	73.4
CAFE SOLUBLE Y MOLIDO	254.3	11.4	0	0	0	1.6	0	0	0	0	0	2.4	57.9	0	0	0	0	2.4	0	0	74.7	0	60.8	2.9	60.9	2.1
CALZADO	275.5	3641.1	0.1	226.6	62.4	235.5	22.2	276.9	0.1	198	22.2	275.9	17.2	210.9	41.7	296.1	4.1	371.9	53.2	226.9	0.6	399.2	37.2	487	14.4	436.3
CAMARON Y LANGOSTA	0	66	0	6	0	12.5	0	10	0	10	0	0	0	6.5	0	5.5	0	14	0	1.5	0	0	0	0	0	0
CARNE	4946.6	0	355.7	0	604.9	0	527.3	0	318.5	0	372.1	0	302.6	0	330.1	0	203.4	0	470.6	0	337	0	608.6	0	515.8	0
CERAS	452.6	5740.5	64.7	478.8	35	470.8	30.8	606.2	44.4	230.9	17.1	439.9	25	375.7	37.4	464.4	27.4	589.9	43.4	464	37.4	515.8	73.3	560.5	16.5	543.6
CLAVOS Y TORNILLOS	65.1	19.2	3.3	8.4	4	0.9	20.9	0.4	0.1	0	4	3.5	13.8	0	0.9	0.7	11.6	0.3	3.5	4.1	0.5	0.2	1.7	0.1	0.8	0.6
DETERGENTES Y JABONES	3279.1	15643.4	276.5	1069.1	243.6	1223.6	291.6	1198.9	197.8	903.1	256.9	1312.3	275.9	1153.8	276	1224.9	236.5	1430.4	254.3	1627.2	360.9	1696.3	281.1	1392.7	328.1	1411
"DISCOS, MATRICES Y CINTAS (DE GRABACION)"	16.5	32	1.1	5.5	1.3	4.1	1.3	2.9	1.3	4.7	0.3	4.8	1.8	0	3.3	1.9	1.9	2.1	1.8	0	1.4	2.3	1	1.5	0.3	2.1
GRASAS Y ACEITES COMESTIBLES	386.3	1728.9	26.4	106	13.8	115	14.3	161.9	36	185	11.1	107.1	0	180.2	19.8	90.6	60.8	182.9	1.9	134.7	31.4	118.7	23.7	172.2	147.1	174.6
HARINAS DE CEREALES	143.8	306.7	0	44.8	63	11.7	3.2	20.9	3.9	0	0	6.7	0.1	54	6	8.9	2.4	26	7	50.1	41.9	29.3	16.1	19.5	0	34.7
HERRAMIENTAS ARTICULOS DE CUCHILLERIA	118.9	49.9	6.2	0.4	19.7	3.1	5.7	2.6	16.8	9.9	2.7	9.5	11.9	7.5	5	0.1	10.1	5.5	8.4	2.3	17.8	7.9	3.8	0.3	10.6	0.9
HILOS E HILAZAS	3373.2	2757.5	316.6	328.5	335.2	302.3	290.5	109.5	226.9	59.5	396.2	300.2	350.5	339.3	144.2	133.7	425.4	79.6	293.2	90.2	79.3	101	165.1	297	350	616.8
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES"	7486.5	13404.9	580.7	859.1	494.7	1236	418.3	1270.9	460.9	756.5	724.4	1412.8	891.5	1923.2	484.5	1222.9	565	1473.7	959.1	967.4	448.1	506	801.6	793.4	657.7	983.1
INSTRUMENTAL MEDICO Y OTROS	1010.7	362.5	61.3	6.7	78.7	50.1	122.4	37.6	47.2	33.5	77.5	29.2	101.7	10.7	79.8	18.7	128.3	33.6	104.6	12.7	78.1	46.7	76.4	65.3	54.7	17.8
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES"	123.1	487	1.5	24.3	7.7	16.1	2.5	27.9	14.2	3.7	2.5	49.1	12	25.1	14.4	7.1	6.4	34.7	0.6	14.3	4.1	14.6	31.8	208.7	25.5	61.4
