	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO	92.6	6352.4	2.6	271.1	6.1	36.6	4.5	15	0	20	4.5	9.7	11.4	40.3	35.6	51.5	0.2	37	7.6	990.7	0.1	50.9	17.1	91	2.9	4738.7
APARATOS TRANSMISORES Y RECEPTORES	2120.4	1063.8	18.7	177.4	14.1	62	724	66.9	396.8	68.5	246	59	266.9	35.4	221.3	49.6	27.9	22.3	54.7	29.3	128.1	77.1	19.8	29.8	2	386.4
ARMAS Y MUNICIONES	0	0.7	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
ARTICULOS DE VESTUARIO	5609	1191.6	349.1	100	420.3	85.7	453.3	94.8	320.1	52.8	412.8	87	656.3	77.1	549.6	149.1	477.5	71.6	369.9	90.9	502.3	129.8	376.4	142	721.4	110.8
AZUCAR	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AZUCARES Y ARTICULOS DE CONFITERIA	6828.5	4820.1	611.5	238.1	536.8	355.7	542.4	351.7	461.2	398.9	553.1	376.9	488.8	417.4	508.2	464.8	557.6	480.7	495.1	413.1	679.5	380.9	749.4	623	645	318.8
BATERIAS ELECTRICAS	834.1	1015.4	7.6	142.1	47.1	84.4	51.6	1.7	8.5	131	19.5	49.2	152.8	60.8	47.9	4.7	73.1	129.5	71.5	83.5	81.6	82.4	160.8	85	112	161.1
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES	9510.2	76621.1	991.5	4362.1	706.6	7042.1	1031.6	6167.6	801.7	7570.6	695	7737.8	678.2	6765.1	962.5	6221.4	738.3	6510.8	877.5	6218.1	754.9	6878.6	756.6	5828	515.6	5318.8
CAFE SOLUBLE Y MOLIDO	0	92	0	0	0	1.9	0	14.5	0	3	0	0	0	12.2	0	9.3	0	38.5	0	3	0	8.5	0	1	0	0
CALZADO	4644.4	1339.7	553	33.3	376.4	64	288.7	91.2	135.1	204	290.6	68.9	590.2	160.8	364.6	56.3	434.3	129.4	494.2	94.3	324.3	145.4	486.9	229.9	306.2	62.1
CAMARON Y LANGOSTA	90.8	80	0	0	0	0	0	0	0	0	1.6	28.7	5.7	22.6	4.2	28.8	5.7	0	33	0	14.9	0	25.8	0	0	0
CARNE	84.1	1226.6	13.5	130.9	4.5	187.3	0	79.4	4.5	80.8	9	0	12.7	98.9	13.1	0	8.6	0	0	0	9	0	4.5	214.8	4.5	434.6
CERAS	5444.9	748	394.2	50.1	420.5	49	593.3	79.2	393.8	46.6	510.3	33	363.4	69.2	486.5	80.4	355	47.9	497	72	447.7	85.7	411.3	70.6	571.7	64.3
CLAVOS Y TORNILLOS	40.9	262.1	0.3	3.2	8.2	26.5	1.2	6.5	1.2	72.3	0	24.3	17.5	14.8	3.9	4.8	1.4	11.1	0.1	14	3.6	50.4	2.9	23.3	0.6	10.9
DETERGENTES Y JABONES	26228.6	5387.6	1742.5	330.8	1992.1	507.9	2524.8	480	1500.4	405.3	2603.5	620.8	1889.8	512.4	2091.8	352.5	2116.4	443.9	2141.2	438.2	2457.7	415.1	2477	390.9	2691.3	489.8
"DISCOS, MATRICES Y CINTAS (DE GRABACION)"	4.6	13.9	0	0.4	0	6.8	0	0.1	0	0.7	0	0	0	0	0	0	0	0	0	0.7	0	0	0	2	4.6	3.3
GRASAS Y ACEITES COMESTIBLES	3500.7	2351.9	76.5	294.8	328.2	144.8	318.4	179.6	280.2	180.4	273.5	167.2	359.1	191.5	280.4	159.6	273.9	169.8	317.8	257.9	349	193.4	248	183.2	395.8	229.8
HARINAS DE CEREALES	1790.1	1519.1	189.7	69.2	124.6	96.8	258.2	192.3	162.1	85.8	204.9	125.5	187.2	83.2	144.4	112.6	83.9	128	138.2	147.6	110.9	142.3	93.2	179.3	92.7	156.5
