	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
TOTAL	339294.5	205177.3	23765.4	17319.6	26019.2	15050.3	26464.7	15591.6	26557.3	17989.2	32461.9	16745.1	30676.4	16003.3	25615	18054.1	29874.8	17428.2	27766	19614.5	30976.7	17002.9	30219.6	18770.8	28897.4	15607.7
INDUSTRIAS AGROPECUARIAS	1719.5	12064.9	143.3	1565.7	86	973.2	140.6	1060.5	149.7	1338.2	84.3	1023.7	163	760.1	207.3	864.8	238	1057.4	56.7	823	141.4	1153.6	230.7	914.2	78.5	530.5
AJO	0	5	0	0	0	0	0	2.5	0	0	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANIMALES VIVOS DE GANADERIA	212.2	19.4	90.1	13.5	10.3	0	14.8	0	22.3	0	1.5	0	23.6	0.8	0	0.8	12.3	0	0	0	13.1	4.3	18.5	0	5.7	0
ANIMALES VIVOS DIVERSOS	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0
ARROZ	83.3	0	0	0	0	0	0	0	4.2	0	21.1	0	4.1	0	12.4	0	8.2	0	8.3	0	0	0	25	0	0	0
BANANO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES"	208.9	98.7	8.8	31.8	12.9	4.1	28.5	6.7	17.5	25.4	9.5	16.8	0	0	8.4	0	72.2	7.9	3.7	0.3	1.7	0	20.7	1.1	24.8	4.6
CAFE	0	52.5	0	0	0	0	0	0	0	0	0	0	0	0	0	52.5	0	0	0	0	0	0	0	0	0	0
CARDAMOMO	0	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0.5	0	0	0	0
CAUCHO NATURAL (HULE)	3.9	8131.9	0	591	0	698.6	0	645.3	0	701.1	0	507.5	0.8	516.6	1.3	653.5	0.3	828.6	1.6	735.9	0	1060.3	0	770.5	0	423
"CEREALES DIVERSOS (CENTENO, CEBADA, AVENA, SORGO, ETC)"	0	3.8	0	0	0	0	0	0	0	2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5
ESPECIAS	154.1	129.1	11.9	15.9	16.4	7.2	10.8	3.1	16	16	11.4	28.7	13.9	4.8	12.8	6.4	1.8	21.6	12.7	5.7	8.1	14.3	21.2	5.4	17	0
FLORES Y FOLLAJES	35.2	73.5	0	1.1	0	3.6	0	0	7.7	3.8	0.7	2.3	0	0	0	3.8	0.9	31.9	8	0	0.5	0	16	5.4	1.5	21.6
FRIJOL	0	681.7	0	154.2	0	28.7	0	44	0	151.1	0	124.9	0	106.8	0	13.4	0	13.4	0	0	0	14.4	0	30.7	0	0
"FRUTAS FRESCAS, SECAS O CONGELADAS"	115.9	710.3	15.4	35.5	2	42	0.8	64.4	0.3	87.1	5.7	42.8	1.7	83.3	25	43.8	27.4	93.3	12.4	52.8	24.7	58	0	68.7	0.5	38.7
HUEVOS DE AVES	0.4	1.7	0	0	0	0	0	0	0	1.7	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0
LEGUMBRES Y HORTALIZAS	178.2	1820.5	0	713.5	0	151	0	256.7	0	282.6	0	283.8	0	39.2	0	72.5	0	0.2	0	0.2	71.6	0.4	106.6	13.6	0	6.8
MAIZ	0.1	96.7	0	0	0	7.3	0	8.8	0	33.3	0	14.2	0	0	0	2.6	0	19.7	0.1	0	0	1.5	0	3.1	0	6.3
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL	652.8	17.5	11.8	3.9	16.4	2.7	76.5	0	81.7	3.4	27.8	0	115.1	5.1	140.9	0	114.5	2.2	6.8	0	14.9	0	19.9	0	26.4	0.1
PIMIENTA	45	7.9	4.5	0	27.8	0	1.6	0	0	0	3.4	0.3	3.7	0	0.6	0	0	7.3	2.8	0	0.6	0.1	0	0	0	0
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA"	26	9.2	0.9	5	0	0	7.4	0.2	0	0	0	0	0.1	2.4	5.8	0	0.3	0	0.3	0	5.8	0	2.9	1.7	2.4	0
SEMILLA DE AJONJOLI	0	196	0	0	0	28	0	28	0	28	0	0	0	0	0	14	0	28	0	28	0	0	0	14	0	28
TOMATE	0	8.4	0	0.1	0	0	0	0.8	0	2.3	0	0	0	1.2	0	1.4	0	2.5	0	0	0	0	0	0	0	0
YUCA	3.2	0	0	0	0	0	0	0	0	0	3.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INDUSTRIAS MANUFACTURERAS	324703.2	185372.3	22425.1	13684.8	24912.7	13714.6	25593.5	14273.3	25167.5	16108	30652.3	15321	29041.2	14977.6	24403.7	16433.3	28499.1	15450.1	26975.9	18152.4	30057.4	15506.7	28885.7	17336.5	28089	14414.2
ABONOS Y FERTILIZANTES	602	570.3	29.1	123	86.4	24.9	29.1	27.4	41.2	50.6	55.1	58.1	45.9	24	43.2	41.6	20.1	44.6	20.9	47.5	26.3	46.4	80.2	60.5	124.6	21.7
ALIMENTOS PREPARADOS PARA ANIMALES	939.1	511.2	48.4	26.6	118.6	8.7	44.6	45.2	120.1	51.3	82.4	128.1	33.5	33.6	87.7	73.1	150.5	26.9	101.6	45.7	79.3	30.3	50.5	21.8	21.9	19.8
APARATOS ELECTROMECANICOS DE USO DOMESTICO	8673.3	554.1	250.7	27.4	505.5	22.6	320	24.5	747.8	38.7	1191.2	48.3	595.7	52.3	411.3	52.9	921.5	48.3	959.6	30.9	777.3	40.7	626.3	118.5	1366.3	49
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO	49.9	64.5	0.4	0.2	0.1	0	3.6	36.6	0.1	23.8	0.1	0.2	16.3	0.3	1	0.1	16.1	0	11.1	2.7	0.1	0.3	0.2	0.3	0.8	0.1
APARATOS TRANSMISORES Y RECEPTORES	360.2	269.9	11.4	43	50.2	11.3	6.2	30.1	11.4	64.4	34.2	26.6	40.8	0.2	87.6	46.9	23.4	1.5	20.5	8.8	25.5	30.9	15.2	1.3	33.5	4.9
ARTICULOS DE VESTUARIO	1810	1728.8	62.6	77	110.6	139.7	141.8	115.5	76.6	148.9	134.7	199.8	66	163.6	90	142.3	127.7	82	285.7	90.4	289.2	110.3	321.1	267	103.9	192.3
AZUCAR	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0
AZUCARES Y ARTICULOS DE CONFITERIA	1671.8	4327.9	83.3	280	220	273.6	164.9	252.4	128.5	367.2	137.6	330.1	86.3	301.8	118.8	462.9	99.4	506.2	251.4	364.7	224.1	412.5	113	328.7	44.5	447.9
BATERIAS ELECTRICAS	1549.8	794.2	144.2	53.1	131.4	27.8	86.1	60.7	44	46.7	106.9	49.7	110.8	66.9	110	33.3	107.6	64.8	134	80.2	148.3	93.9	263.3	102.7	163.3	114.3
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES	31520.5	1235.5	2484.3	70.3	1929.7	113.9	3413.1	44.4	2259.8	166.2	3233.9	93	2837.3	142	2999	89.5	3004.1	120	2559	85.5	1968.2	157.6	2762.2	93.9	2069.7	59.2
CAFE SOLUBLE Y MOLIDO	0.5	3.8	0.5	0	0	0	0	0.6	0	0	0	2.3	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0
CALZADO	546.8	3295.4	54	162	0.1	142.9	98	208	25.6	191.4	6.5	280.8	17.9	158.8	39.3	187.4	39.8	164	19.8	248.6	14.6	482.1	24.4	481	206.8	588.6
CAMARON Y LANGOSTA	2.5	104.8	0	9.5	0	0.1	0	26.1	0	44.7	0	0	0	0	0	0	0	5	2.5	12	0	0	0	0	0	7.5
CARNE	5465.7	0	454	0	389.9	0	171.2	0	165.9	0	453.4	0	581.4	0	615.5	0	558.2	0	514.7	0	499.4	0	467.1	0	594.8	0
CERAS	475.4	4939.5	22.8	262.1	4.4	292	39.8	341.2	48.7	530.1	74.3	477.2	50.5	446.7	29.9	449.4	60.6	510	18.9	551.1	71.9	340.2	11.5	309.3	42	430.3
CLAVOS Y TORNILLOS	187.6	76.6	5.3	1.7	22.9	30.8	6.8	0	4.4	0.4	40.1	8.2	52.3	5.1	6.6	0.4	5.3	0	1.7	18	0.6	11.1	11.8	0.2	29.9	0.5
DETERGENTES Y JABONES	3008	12738.6	160.6	731.9	284.5	949.9	246	1108.4	230.8	1109.6	252	995.8	320.5	1011.1	265	1104.4	292.3	1268.8	293.7	1139.2	236.7	1058.2	144.4	1196	281.5	1065.2
"DISCOS, MATRICES Y CINTAS (DE GRABACION)"	30.4	67.5	0.7	6.8	0.1	8	4	11.5	2.7	11.8	5.5	2.5	0.1	0.4	10.9	7.9	0.3	0.1	5	6.8	0.4	5.4	0.1	3.5	0.7	2.7
GLICERINA CRUDA	20.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.6	0	0	0	0	0	0	0
GRASAS Y ACEITES COMESTIBLES	337.1	1755.4	26.5	100.1	34.5	174.5	13.2	127	51	154.7	77.1	118.6	28.2	162.8	8.4	133	29.4	145.7	19.6	125.6	15.5	163.9	0	146.3	33.8	203.2
HARINAS DE CEREALES	204.1	336.2	0	17.8	4.4	32.7	7.9	27.5	8.6	41.7	10.7	25.6	7.1	9.5	0	48.8	0	9.7	11.9	56.7	129.8	16.8	23.6	9.2	0	40.2
HERRAMIENTAS ARTICULOS DE CUCHILLERIA	68.1	50.5	7.4	0.1	6.8	1.8	3.2	1.8	1.6	13.5	1.8	7	18.1	0.6	0.4	3.4	8.9	2.5	8.2	0.7	7.6	6.4	0.6	6.1	3.5	6.7
HILOS E HILAZAS	4301.3	3459.5	461.6	37.5	500.2	115.4	368.4	46	399.7	57.5	341.2	164.8	325.7	168.4	306.3	231.1	366.6	854.1	359.9	323.5	402.1	460	249.9	752.5	219.7	248.7
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES"	7178.2	10794.8	268.8	1129.3	385.4	1170	532.6	1074	270.4	1244.2	779.2	1169.4	932.4	626.3	438.5	844	661.2	746.9	614.3	1024.8	537.9	427.7	833.3	848.9	924.3	489.2
INSTRUMENTAL MEDICO Y OTROS	981.1	726.2	26.4	4.5	53.9	26.8	54.4	33.8	133.4	28.1	47.4	51.3	156.7	25.6	82.7	62.8	94.3	23.2	117.8	378.5	66	41	77.9	46.5	70.4	4.2
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES"	110.6	191.1	7.2	17.2	2.1	26.6	34.6	4.1	5.2	19.4	0.1	16.4	5.1	8.3	19.4	20.4	4.4	14.9	8.2	2.8	1.9	10.1	18.9	15.9	3.6	35
LAMINA Y ALAMBRE	18098	7756.2	1276.6	403.3	1142.8	705.1	1013.7	552.2	1430.4	693.2	1585.4	630.9	1728.1	587.9	1430.5	1124.8	1672.3	736.7	1519.9	805.1	1821.3	369.6	1884.8	541.1	1592.2	606.4
LECHE Y OTROS PRODUCTOS LACTEOS	12488.3	728.7	1285.1	53.8	721	74.4	770.8	53.7	1338.4	87.3	1285.5	60.8	901.3	53	715	86.3	1114.8	40.9	1147.5	60	1069.2	41.3	1109.1	55.3	1030.5	62
MADERA EN TROZA	0	3.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1	0	0	0	0	0	0
MANUFACTURAS DE CAUCHO	801.5	218.9	45.5	9.6	61.4	29.5	77.3	19.5	135.7	35.7	55.2	23.8	79.2	10.1	52.9	14.8	42.3	11.6	97.2	26.1	57.1	10.7	26.5	18.8	71.2	8.6
MANUFACTURAS DE CERAMICA	365.5	2636.7	19.1	267.5	23.3	202	14	263.5	20.1	264.8	53	284.9	12.3	190.3	22.2	226.6	33.6	227.9	28.1	143.6	33	156.6	68.1	268.9	38.8	140.3
MANUFACTURAS DE CUERO	19	35	1.8	2	5	4.6	4.5	1.6	0.1	0.3	1.2	12.9	0	0	0.7	0.1	0.4	0	0.7	5	0	2.1	0	5.2	4.6	1
MANUFACTURAS DE MADERA	3908.4	349.9	214.4	5.8	433	19.5	223.6	69.3	371.8	19.4	337.7	12.7	265.2	45.3	351.1	27.9	326.4	43.9	298.9	33.2	380.8	36.9	402.9	29.8	302.5	6.3
MANUFACTURAS DE PAPEL Y CARTON	24223.6	5748.4	2162.1	689.1	2348.9	369.4	1671.2	426.3	2206.1	462.7	2009.6	342.8	1892.1	528.1	1819.5	416.4	1873.5	394.9	1849.1	534.7	2062.5	643.1	2115.5	524.9	2213.7	416.1
"MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC"	131	252.1	4.3	15.1	24.8	8.8	4.9	11.6	6.5	98	15.6	18.9	16.9	18.9	12.4	2.2	6.2	16.6	4.6	11.3	11.1	11.6	10.6	0	12.9	39.1
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS	0.5	35.6	0	13.8	0	6	0	1.6	0	2.4	0.1	0	0	2.9	0	2.1	0.1	2.5	0	1.5	0	0.1	0.1	1.2	0.3	1.4
MANUFACTURAS DE PIELES	532	72.2	73	0	28.3	3.8	27.8	0	9	0	57	0	22.1	0	15.9	6.4	20.9	0	30.8	62	94.1	0	69.6	0	83.5	0
MANUFACTURAS DIVERSAS	12187.3	3606.5	511	204.1	895.1	169.6	752	292.3	834	261.8	789.3	330.6	1818.3	275.5	972	287.7	1594.1	242.2	777.1	312.1	1302	516	980.8	395	961.6	319.6
MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS	16310.3	6670.6	666.4	694.9	1694.8	310.4	3195.5	422.9	1128.6	224.7	1452	573.5	1630.3	583.9	861.2	270.3	744.2	629.1	1116.4	1423.4	1188.2	727	1287.9	444.4	1344.9	366.1
MATERIALES PLASTICOS Y SUS MANUFACTURAS	29081.2	16888.7	2329.4	1184	2198.4	1242.4	1949	1301.4	2523.7	1482.1	2937.2	1238.6	2706.5	1747	1722.5	1190.2	2831.9	1111.5	2533.4	1579.8	2379.7	1446.5	2305	1759	2664.6	1606.2
MATERIALES TEXTILES (TEJIDOS O TELAS)	479	5782.7	0.6	391.9	77	348.2	8.1	438.4	94.6	451.8	42.1	588.2	16.8	445.9	48.3	507	13.5	445.2	19.5	618.5	87.7	491.2	25.5	563.5	45.4	492.8
MELAZAS DE AZUCAR	31.5	0	3.6	0	2.3	0	4.9	0	2.2	0	0	0	0	0	3.3	0	3.2	0	5.3	0	1	0	3.6	0	2	0
"MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC."	965.2	2415.7	28.8	213.3	42.4	143.2	84.5	138.6	172	262.4	142.9	267.1	142.5	131.1	129.8	183.2	60.8	156.9	67.2	213.5	56.8	288.9	27.3	227	10.2	190.5
NEUMATICOS Y TUBOS	10831.9	2353.1	737.9	243.4	1085.7	242.3	740.3	137.6	770.4	208.1	860	96.2	911.5	292.5	577.3	295.8	1185.8	197.1	971.9	91.5	827.4	266.9	950.3	194.7	1213.5	87.1
"OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES"	9.2	2.1	0.2	0	6.7	0.4	0.1	0	0	0	0.1	0	0.1	0.1	0.1	0.6	0.9	0.1	0	0.1	0.2	0.3	0.7	0.5	0	0
OTRAS MANUFACTURAS DE METALES COMUNES	11060.3	2172.9	925.9	96.7	705	200	782.8	130.2	696.8	114.9	1186.4	344.1	801.3	320.4	1063.1	156.8	901.1	178.8	992.1	156.2	1245	150.8	701.3	150.8	1059.5	173.4
OTROS ACEITES ESENCIALES	33.5	4.6	0.1	0	0.2	0	1.4	0	3	0	0	0	2.4	2.5	0.1	0	2.1	0.8	2.9	0	2.3	0	0	1.3	19	0
PAPEL Y CARTON	5961.8	243.3	550.6	1.4	387.9	16.2	647.5	23.3	509.7	0	318.5	13.9	461.9	23	431.6	21.2	563.7	12.1	601.6	17.6	575.4	13.4	559.8	52.2	353.7	49
PESCADO Y MOLUSCOS	259.9	0	23.5	0	24.7	0	47.6	0	31.1	0	20.5	0	25	0	13.4	0	5.7	0	9.4	0	6.5	0	21.9	0	30.7	0
PIELES Y CUEROS	237.9	0	5	0	40.3	0	9.4	0	43.9	0	0	0	17.5	0	0	0	22.8	0	28.7	0	27	0	36.9	0	6.6	0
PINTURAS Y BARNICES	4907.8	2247	316	164.2	285.8	232.1	346	143.9	243.1	129.3	422.8	211.8	266	149.8	270.1	145.4	507.4	157.8	374.7	166.1	540.3	167.9	891.1	275.9	444.6	303
PREPARADOS A BASE DE CEREALES	14698.4	15181.5	664	855.5	1006.1	936.1	1374.7	1288.6	1283.2	1383.5	1348.5	1144.7	1072.7	933.7	1184.9	1814.5	1577.9	1509.3	1061.8	1174.4	1678.8	1216.5	1380.2	1832.6	1065.6	1092.1
