	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA)	537288.6	418319.7	40279.2	29806.8	45488.4	34994.3	46947.1	39299.9	41572.6	37092.4	49633.2	37868.8	44883.2	39381.5	48443.6	35390.3	40443	32939.7	43871.8	28888	47367.3	34105.2	43499.7	33039.1	44859.4	35513.7
INDUSTRIAS AGROPECUARIAS	10593.4	23987.4	496.2	2978.6	688.3	1952.1	884.8	2209.8	1386.6	1955.9	1534.1	2350.6	1398.6	1113	1047.5	2190.9	567.1	2141.9	325.6	2387.7	815.5	2346.5	733.3	1224.4	715.9	1136.1
AJO	0	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2	0	0
ANIMALES VIVOS DE GANADERIA	205.9	4.6	6.7	0	0	0	0	0	6	1.5	112.7	0	14.7	2.6	15.6	0	42.9	0.5	7.3	0	0	0	0	0	0	0
ANIMALES VIVOS DIVERSOS	16	0.1	0.7	0	0	0	2.5	0	0.4	0	2.6	0	0	0	0.7	0.1	0.5	0	0.5	0	4	0	0	0	4	0
ARROZ	334.2	0	0	0	0	0	0	0	0	0	267.7	0	66.6	0	0	0	0	0	0	0	0	0	0	0	0	0
AVES DE CORRAL VIVAS	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
BANANO	2.8	0	0	0	2.2	0	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES"	2768	114	0.1	1	43.4	16.6	217.3	0.1	391.9	0	359.4	2	516.8	0.7	500.7	23	479.7	4.4	106.2	1	152.5	0.3	0	62.8	0	2.1
CACAO	22.7	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.8	0
CAFE	0	6547.4	0	75.6	0	399.6	0	390.8	0	528.1	0	1016.7	0	506.1	0	888.6	0	967.6	0	1321.4	0	452.9	0	0	0	0
CARDAMOMO	0.1	4.3	0	0	0	0	0	0.3	0	2.1	0	0	0	0	0	0	0	1.1	0.1	0	0	0	0	0.8	0	0
CAUCHO NATURAL (HULE)	191	10626.4	14.5	1529.1	29.3	676	29.3	844.2	14.5	1002.2	28.6	898.2	14.8	210.2	14.8	936.8	0	700.3	14.8	726.4	0	1603.1	15.5	693.8	14.8	805.9
