	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
TOTAL	405856.1	257839.9	30813.7	17307.9	29497.6	19108.4	35705.9	21278.2	29744.6	18055.9	38167.6	24389.7	34443.8	21055.6	33610.6	21217.4	33289.2	22576.8	35361.2	21436.4	38478.8	24340.8	35408.5	25485.1	31334.7	21587.7
INDUSTRIAS AGROPECUARIAS	4592.9	11538.8	161.2	605.8	219.8	1084	210	550.5	340.2	724.5	712.3	583.7	588	751.4	520.2	449.8	364.2	2035	395.7	970.4	492.8	1315.8	360	1102.5	228.6	1365.4
AJO	0	2.5	0	0	0	0	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALGODON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANIMALES VIVOS DE GANADERIA	199	434.5	7.7	0	44.7	0	0	0	30.5	0	4.5	0	31.5	3.3	0	0	0	234.7	61.5	0	0	191.5	18.7	0	0	5
ANIMALES VIVOS DIVERSOS	20.6	0	1.2	0	0	0	0	0	0.3	0	11	0	0	0	0	0	5.3	0	1.2	0	1.5	0	0	0	0	0
ARROZ	38.6	0	0	0	0	0	6.5	0	6.5	0	13	0	5.3	0	4.1	0	0	0	0	0	0	0	0	0	3.3	0
"BULBOS, RAICES Y PLANTAS ORNAMENTALES"	1395.8	274.8	36.4	4.7	31.4	2	43.8	89.1	70.4	4.1	426.5	0.4	60.1	30.7	12.8	2.3	102.1	28.7	153.7	0	210.8	73.7	135	27.3	112.9	11.7
CAFE	0.6	0	0	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAUCHO NATURAL (HULE)	10.6	10042.7	0.8	544.6	0	1049.9	0	434.3	0	690.8	6.7	455.8	0.7	648	1.8	395	0.6	1633.8	0	935.4	0	969.9	0	1027.1	0	1258.1
CEBOLLA	24.1	10	16.7	0	0	0	0	0	0	0	0	0	0	1	0	2.7	7.4	6.3	0	0	0	0	0	0	0	0
"CEREALES DIVERSOS (CENTENO, CEBADA, AVENA, SORGO, ETC)"	0	7.8	0	0	0	6.8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ESPECIAS	382.2	95.7	10.3	16.3	60.3	15	23.8	0.8	34.7	0.9	28.5	27.1	24.6	1	25.3	1.5	15.3	15.8	12	0	60.6	16.5	78.2	0	8.7	0.9
FLORES Y FOLLAJES	17.1	55.8	1	0	3.2	0	1	0	0.6	0	2.1	0	0.7	0	0.5	0	1.8	28.3	1.4	2.3	2.3	8.3	1.5	10.5	1	6.3
FRIJOL	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5
"FRUTAS FRESCAS, SECAS O CONGELADAS"	549.2	73.4	6.6	0	0	0	0.8	0	0	5	9.7	10	0	21.3	31.5	2.5	117.4	1.5	81.1	0	166.5	0	85.3	13	50.4	20.1
HUEVOS DE AVES	10	1.1	0	0	0	1.1	0	0	0	0	0	0	0	0	0	0	2.4	0	0	0	0	0	7.6	0	0	0
LEGUMBRES Y HORTALIZAS	8.7	68.4	0	0	0	0	0	0	0	0	0	0	3.8	13.4	0	3.1	1.6	26	0	0	0	0	0	6.4	3.2	19.5
MAIZ	0	133.5	0	0	0	4.3	0	0	0	0	0	45.9	0	18.2	0	0	0	50.8	0	0	0	14.2	0	0	0	0
OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL	768.2	32.8	64	0	71.8	0	82.4	2.4	87.7	0	67.1	4.7	98.2	6	79.2	5.9	63.7	0	74.3	2.6	35.4	0	19.7	8.5	24.9	2.7
PIMIENTA	22.2	2.1	2.8	0.1	5	0	0.7	0	0.5	0	0	0.1	0	0	2.4	0	0	0.1	7.5	0	0.5	0	0	1.7	2.9	0
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA"	101.3	93.6	11	8.1	3.3	4.8	14.3	10.1	1.5	7.7	3.2	7.7	4.4	7.4	7.4	7.7	2.3	9	3.1	0.1	15.4	11.3	14.1	8	21.3	11.6
SEMILLA DE AJONJOLI	0	207.2	0	32	0	0	0	11.2	0	16	0	32	0	0	0	29	0	0	0	29	0	29	0	0	0	29
TABACO EN RAMA O SIN ELABORAR	20.6	1.3	0	0	0	0	0	0	0	0	0	0	0	0	20.6	0	0	0	0	0	0	1.3	0	0	0	0
TOMATE	0	1.2	0	0	0	0	0	0	0	0	0	0	0	1.2	0	0	0	0	0	0	0	0	0	0	0	0
YUCA	2.5	0	0	0	0	0	0	0	0	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INDUSTRIAS MANUFACTURERAS	387018.9	243310.9	29632	16589.3	28393.4	17724.2	34587.3	20274.4	28273.2	17129.1	35649.6	23555.8	31294.3	20132	31755.4	20613.5	31886.5	20345.4	34201.3	20232.9	36993.8	22777.3	33996.5	24074.4	30355.7	19862.6
ABONOS Y FERTILIZANTES	655.8	1562	76	78.4	17.8	199.5	63	176	31.7	222.2	44.1	201.5	57.2	106	49.1	113.5	68.5	44.8	96	72.1	36.5	129.6	51.4	122.8	64.6	95.8
ALIMENTOS PREPARADOS PARA ANIMALES	1462.1	710.2	99.5	12.6	70	68.2	61.8	60.3	68.8	2.4	200.2	61.1	89	21.5	148	39.9	178.2	135.2	69.7	79.7	149.8	74.6	154.1	26.8	173.2	128
APARATOS ELECTROMECANICOS DE USO DOMESTICO	17122.3	1323.9	1976.3	156.5	803.8	25.4	1513.7	47.2	1255.6	71.6	2269.4	188.9	1035.7	195.5	969.6	99.5	1518.3	79.6	1754.7	120.3	1622.1	101.6	1299.8	127.5	1103.2	110.4
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO	1259	204.9	22.9	15.2	82	5.8	67.4	46.9	357.1	23.9	60.8	17	45.7	13.5	8.9	16.4	153.9	3.1	65.7	32.9	77.5	14.4	124.5	12.3	192.6	3.6
APARATOS TRANSMISORES Y RECEPTORES	1616.9	91.6	79.6	3.9	164.9	1.9	0.2	25.9	8.5	0.5	916.6	10.1	86.4	30.9	56.1	3.2	56.5	0.3	28.3	9.4	24.5	2.1	37.5	2.9	157.9	0.6
ARMAS Y MUNICIONES	66.2	0	0	0	0	0	0	0	0	0	61.3	0	0	0	4.9	0	0	0	0	0	0	0	0	0	0	0
ARTICULOS DE VESTUARIO	2264.1	2150.5	87.2	139.7	123.6	127.2	157.9	106.9	83.2	92.7	189.4	323.1	95.1	180	146.9	153.1	262.5	79.6	256.2	110.6	473.9	210.6	278.8	453.7	109.5	173.3
AZUCARES Y ARTICULOS DE CONFITERIA	2067.2	4498.1	148	366.8	276.4	278	257.5	441.8	216.6	308.7	155	414.3	174.7	206.9	166.1	418.1	118.6	403.5	184.8	397.1	175.5	464.6	126.1	379.3	67.8	419
BATERIAS ELECTRICAS	1281.4	1332.6	92.7	51.3	281.7	36.7	89.2	60.7	15.3	109.1	157	205.1	153.5	54	86.7	83.6	102.1	79.3	6.1	147.1	156.8	113.8	0.1	154.7	140.3	237.2
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES	37503	1655.5	2626.4	52.8	2829.4	92.5	3279.1	67.6	2894.4	93.3	3544.2	94.7	2713.8	82.4	2896.1	121.3	3380.3	147.5	3629.6	170.4	4058.4	223.4	2447.7	209.2	3203.5	300.4
CAFE SOLUBLE Y MOLIDO	262.4	7	0	0	47.2	0.9	0	0	40.5	0	44.8	3.4	0	0	0	0	0.1	0	0	0	0	0	129.8	2.5	0	0.2
CALZADO	122.3	4556.9	3	221	3.9	276.1	13.1	364.5	0	248.5	12.8	254.6	0	286.9	18.9	315.6	11.1	269.7	40.1	481.8	2.4	614.9	14.9	701.8	2.1	521.6
CAMARON Y LANGOSTA	0	104.2	0	7.1	0	4.5	0	17.4	0	3.8	0	4.7	0	11.8	0	7.1	0	9.4	0	2.4	0	10.8	0	18.7	0	6.7
CARNE	3941.2	194.7	507.6	0	439.1	0	321.8	0	192	65.1	267.7	65.2	353	0	328.6	64.3	301.8	0	398.7	0	115.6	0	366.3	0	349.1	0
CERAS	612	4992	39.5	402.6	12.4	541.6	31.3	348.6	24.1	292.2	21.3	538.2	25.8	402.2	34.3	343	59.3	516.1	98	498.3	52.1	644.3	134.6	350.1	79.4	114.9
CLAVOS Y TORNILLOS	98.8	20.4	5.8	5.8	4.9	0.1	8.2	0.5	0.1	0.5	8.3	10.9	15.3	1.5	15.6	0.1	11.9	0	10.4	0.2	6.1	0.3	6.3	0	6	0.3
DETERGENTES Y JABONES	4408.4	18162.8	363.5	1438.1	293.2	1423	328.7	1676	336.7	1628.8	359	1726	368.9	1418.5	435.4	1532	361	1502.5	363.1	1350.3	474	1610.4	343.3	1607	381.6	1250.2
"DISCOS, MATRICES Y CINTAS (DE GRABACION)"	11.7	31.5	0	2.7	0	5.4	7.1	0	0	3.5	0	1.3	1	3.5	1.1	4.1	1.3	0	0.2	2.4	1	0.6	0	5.3	0	2.6
GLICERINA CRUDA	0	4.5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3.5	0	0
GRASAS Y ACEITES COMESTIBLES	1285.5	2061.7	54.5	177.5	132.6	112.3	144.7	236.4	66.9	153.7	40.9	217.2	48.8	125.2	77.8	161.6	96.1	158.6	56.2	170.7	391.7	194.7	120.4	183.3	55	170.6
HARINAS DE CEREALES	44	573.2	0	51.7	16.2	54.1	17.6	40.3	0	44.5	0	10.9	0	107	0	21.2	3.8	34.2	0	97.2	0.5	47.8	4.1	24.8	1.8	39.5
HERRAMIENTAS ARTICULOS DE CUCHILLERIA	132.2	126	6	11.5	0.2	1.6	9.6	16.8	4.1	32.1	0.8	1.1	6.3	6.8	11.7	3.3	10.9	2.1	6.5	44.9	57.5	0.2	11.3	0.6	7.5	5.1
HILOS E HILAZAS	2289.2	2125	102.1	37	138.6	115.7	301.7	165.1	124.9	129.3	226.7	235.8	193	251.2	319.3	222.2	275.3	229.9	104.3	305.1	202.3	254	192.2	143.6	109.1	36
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES"	9672.4	11730.7	761.9	783.3	1213.8	1043.5	724.7	976.3	570.2	621.3	1137.5	1377.8	704.4	1131.7	793.8	726.5	527.2	998	413.1	1240.2	1265.4	1122.5	871.4	923.8	689.1	785.9
INSTRUMENTAL MEDICO Y OTROS	1167.5	1037	98.2	55.6	76.4	76.2	78.3	402.3	16.9	18.7	79.7	161.4	148.9	38.4	66	27.8	121.3	24.6	152.1	55.6	84.1	41.2	116.6	79.2	129.1	56
JOYERIA DE FANTASIA	0.6	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES"	81.1	480.6	11.6	6.3	0.4	19.8	9.7	49.2	6.2	36.1	12	20.4	8.3	63.8	2.6	50.9	1.7	56.6	13.9	43.4	0.8	11.5	2.6	89.4	11.2	33.1
LAMINA Y ALAMBRE	37317.9	16888.2	2791.5	1348.1	2197.9	841.3	2979.6	1321.2	2849.2	1463.1	3722.7	1655.7	4017.7	1226.8	3339.9	1449.7	3193.8	1408.2	3328.5	1429.5	3088.4	1981.1	3199.9	1330.8	2608.9	1432.7
LECHE Y OTROS PRODUCTOS LACTEOS	20333.6	662.2	1522.5	22.2	1169.9	26.7	1572.8	59.3	1532	4.5	2197.3	47.3	1612.4	29.3	2152.3	27.5	1698	151.2	1991.2	61	1610	55.2	1518.8	39.7	1756.6	138.4
MADERA EN TROZA	0	92.8	0	0	0	0	0	0	0	0	0	0	0	18	0	18	0	9.9	0	29.6	0	7.5	0	9.9	0	0
MANUFACTURAS DE CAUCHO	728.9	352.3	80.8	72.2	46	14.7	87	64	37.9	21.2	56.1	27.5	62.8	25.1	103.1	14.8	55.4	55.5	29.7	11.3	59.8	15.6	45.1	1.5	65.3	28.8
MANUFACTURAS DE CERAMICA	524.4	4496.6	66.3	372.8	96.9	321.6	80	407.5	82.8	316.8	34.9	376.6	26.7	288.6	36.2	402	22.1	437.8	1.4	340.1	13.3	429.8	27.5	344.6	36.3	458.4
MANUFACTURAS DE CUERO	36.9	9.6	0	0.3	0.6	0	18.1	0.4	5.9	0.1	3.5	2.7	4.1	1.3	1.1	0.9	0.1	1.8	3	0.3	0	0.3	0.1	0.1	0.4	1.6
MANUFACTURAS DE MADERA	3858.5	1250.5	213.6	95.5	332.5	106.8	405.1	98.6	342.9	89.4	452.1	72.1	329.9	120.4	259.4	106.8	292.5	110.7	213.9	128.9	325.5	106.9	307.9	156.1	383.2	58.3
MANUFACTURAS DE PAPEL Y CARTON	26989.4	7764.7	1939.8	284.6	2421.6	565.9	3185.7	387.5	2074.9	544.2	2388.8	575.2	2543.1	589.7	1802.4	507.9	1973.8	676	2214	750.3	2531.8	950.7	1437.9	1183.5	2475.6	749.3
"MANUFACTURAS DE PIEDRA, CEMENTO, YESO, ETC"	93.3	384.5	17.9	37.8	9.6	17.2	8	79.3	9.9	47.4	0.2	41.4	11.8	26.1	12.2	33.3	4.2	12.7	7.4	19.2	5.1	18.7	1.4	20.1	5.7	31.2
MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS	1.2	26.8	0	2.5	0	0.9	0	0.3	0.5	0.1	0	19	0.1	0.4	0	0.8	0.2	0.7	0	0.3	0.2	1.4	0.2	0.4	0	0.1
