	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones	Importaciones	Exportaciones
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA"	1251.1	41.7	77.3	0.1	77.6	41.1	79.9	0	123.8	0	116.3	0	47.9	0	121.4	0	130.6	0	134.6	0	119.1	0	112.1	0.6	110.5	0
PLATANO	0	15382.1	0	1089.9	0	1053.2	0	1045.1	0	1107.5	0	1050.3	0	1401.7	0	1302.7	0	1580.3	0	1353.3	0	1558.2	0	1596.5	0	1243.6
SEMILLA DE ALGODON	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0.1	0	0	0	0	0
SEMILLA DE AJONJOLI	0.1	11460.8	0	696.6	0	1008.1	0	911.8	0	862.6	0	537.1	0	1265.9	0	1372.7	0	960.6	0	1077.8	0	1029.8	0	625	0	1112.9
TABACO EN RAMA O SIN ELABORAR	0.2	12553.4	0	0	0	0	0.2	0	0	0	0.1	2502	0	0	0	776.1	0	0	0	4458.9	0	3692.9	0	1123.4	0	0
TOMATE	0.3	0.7	0	0.2	0	0.2	0	0.1	0.3	0.1	0	0.1	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0
TRIGO	59643.7	0.7	4335.1	0	9057.8	0.7	897.2	0	48.8	0	969.4	0	3725.8	0	4215.6	0	10699.1	0	367.2	0	8329.9	0	7383.1	0	9614.8	0
YUCA	4.3	1.4	0.2	0	1.5	0.4	1.1	0	0	0.3	1.1	0.4	0	0.2	0	0	0.3	0	0	0	0	0	0	0	0	0
INDUSTRIAS MANUFACTURERAS	2491955.8	1534964	187827.2	120247	184783.3	128719.9	174935	116444.5	231634	135415.9	222788.4	124706	228316.1	103919.8	207423.4	119452.4	202799.1	162308.3	195283.3	149870.5	222367.1	135341.3	228062.9	128891.6	205736.1	109646.7
ABONOS Y FERTILIZANTES	38339.2	15.7	4403.1	0.6	2122.4	0	2115.5	0	8155	0	3388.7	0	5703.7	0	2994.5	0	1660.3	0	1468.9	0	716.4	10.6	4858.9	4.5	751.8	0
ACEITE DE SEMILLA DE ALGODON	62.5	0	0	0	0	0	0.2	0	0	0	4.7	0	0.3	0	2.5	0	0.6	0	0.4	0	0	0	53.7	0	0.1	0
ALIMENTOS PREPARADOS PARA ANIMALES	49769.5	348.9	725.9	159.8	5134.4	10	6606.3	0	5591.8	0	3917.5	138.9	4019.2	0	5000.8	4.5	2458.9	0	4400.6	35.8	2403	0	3077.7	0	6433.4	0
APARATOS ELECTROMECANICOS DE USO DOMESTICO	38536.9	384.1	2606.6	20.6	2335.3	0.8	2371.4	2.5	3944.3	193	2771.3	13.3	3105.5	4.2	2817.1	26.8	3313	57.4	2956.6	1	4219.8	53.3	4462	8.5	3633.9	2.6
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO	5371	7.6	244.6	0.2	362.7	0	305.2	0.3	521.7	0.4	647.5	0.9	399.4	0.8	438.6	1.2	443.9	2.3	355.7	0.3	510.4	0.4	495.6	0.6	645.8	0.3
APARATOS TRANSMISORES Y RECEPTORES	143012.7	736.7	5256.1	5.6	5507.2	0.1	8312.9	0.7	10948.5	30.8	11452.2	163.2	26255.6	1	17430.4	477.9	11838.4	4.5	7738.1	3	8410.8	4.2	19220.6	44.8	10642.1	1.1
ARMAS Y MUNICIONES	1735.8	0.4	313.8	0.4	5.2	0	196.7	0	193.5	0	121.9	0	136.5	0	89.3	0	163.8	0	294.5	0	77.9	0	97.1	0	45.6	0
ARTICULOS DE VESTUARIO	71226.5	1173729	5968.1	88894.3	5621.2	95196.9	4790.3	95375.3	7185.9	98041.7	6106.1	97351.7	7070.1	85232.3	5664.2	87591.3	6344.4	127652.6	5078.5	112734.2	5403.8	103988.5	6320.2	101146.4	5673.8	80523.7
AVES DE CORRAL BENEFICIADAS	14370.4	0	1206.6	0	1143.1	0	952.5	0	1383.2	0	1224.5	0	1315.1	0	1312.2	0	1138.9	0	826.5	0	1229	0	1266.8	0	1371.9	0
AZUCAR	33.1	29544.8	3.7	2841.8	0	10348.6	0.1	0	6.6	11511.5	5	0	8.4	38.5	0.2	15.4	6.7	0	0.9	1108.1	0.1	940.2	0.2	0	1.4	2740.7
AZUCARES Y ARTICULOS DE CONFITERIA	5930.2	1056.3	599.5	301	597.7	227.5	373.7	39	519.2	1.6	395	111.7	390.2	0	273.1	119.7	379.5	64.7	449.5	39.6	1007.5	28.4	480.4	84.3	464.8	38.9
BATERIAS ELECTRICAS	7691.4	475.9	633.4	2.2	528.6	72.9	381.4	0	599.2	53.7	700.8	35.1	602.4	14.1	525.4	24.5	746.2	264.8	632.2	0	1051.2	0	732.8	0	557.7	8.5
