,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
TOTAL (AGROPECUARIA + MANUFACTURERA + EXTRACTIVA),6460408.5,3955032.2,501626.3,279469.9,557353.1,330378.8,612622.2,431391.8,539052.1,314150,600626.3,366466.2,526426.5,313955.5,530312,320291.4,568577.5,334818,478877.5,326750.4,553036.4,286011.4,463173.9,324460.3,528724.7,326888.6
INDUSTRIAS AGROPECUARIAS,478365.2,1427811.1,30062.8,113337.1,60096,128673.2,45986,178767.3,31591.6,129185.3,35135.7,118069.2,32701.5,102248.8,38488.8,113947,50430.2,119163.9,26699.2,108029.5,34176.5,89362.7,34978,101933.5,58018.8,125093.5
ALGODON,52402.8,0,2481.4,0,9135.6,0,5138.4,0,6926.9,0,3907.9,0,3220.1,0,4364.1,0,3547.7,0,3812.7,0,3011.4,0,2764.6,0,4092.1,0
ANIMALES VIVOS DE GANADERIA,426.3,15.7,23.7,7.5,0,6,0,0,4.1,0,62.4,0,305.5,0,0,0,2.2,1.2,0,1,6.1,0,22.4,0,0,0
ANIMALES VIVOS DIVERSOS,227.3,15.2,16.5,0.2,19.9,0,22.5,0,19.2,7.5,23.6,3.8,20,0,25.5,3.8,18.2,0,13.1,0,19.8,0,17.5,0,11.5,0
ARROZ,39042.4,53.5,2378,0.9,2836.9,3.3,5119.5,7,3985.7,4.7,602.1,3.5,3586.2,1.1,4108.6,3.6,473.7,0,2502.1,13.6,2311.1,4.3,3514.4,5.4,7624,6.3
AVES DE CORRAL VIVAS,4958.6,0,522.1,0,400.2,0,327.3,0,481.7,0,464.7,0,342.7,0,510.8,0,421.3,0,230.5,0,370.2,0,427.5,0,459.6,0
BANANO,104.9,482435.4,4.4,31852.9,33.5,32023.5,8.7,47801,11.1,38622.1,7,43512.4,5.3,40310.5,13.5,39358.5,4.7,47133.8,0,42831.9,0,46139.3,11.7,38264.4,5,34585.2
"BULBOS, RAICES Y PLANTAS ORNAMENTALES",20155.9,36664.8,780,4650.9,154.2,3850.3,1837,4078.8,453.2,2106.8,2152.3,998,718.8,2870.8,2660.7,4516.6,2446.4,2207.1,2296.2,2416.2,2643.7,3044.6,2445.6,3302.3,1567.9,2622.3
CACAO,0,0.4,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
CAFE,0.4,433174,0,38027.9,0.1,53405.7,0,60162.5,0,41856.7,0,48251.2,0,35279.7,0.1,44656.4,0.1,36086.8,0,36907.8,0,14237.5,0,10031.7,0.1,14270.2
CARDAMOMO,0.1,5975.5,0,745.5,0,788.4,0,1575.1,0,571.5,0,469.7,0.1,410.7,0,83.4,0,329.9,0,226.4,0,216.1,0,458,0,100.7
CAUCHO NATURAL (HULE),2342.8,61234.4,187.4,6096.9,143.7,5650,283.2,7342.7,204.1,4630,239.3,5400.9,153.3,4100.1,136.7,4613.9,243.9,3826.6,203.2,4110.1,250,4910.7,174.9,5887.5,123,4665.1
CEBOLLA,103.1,1610.3,1.5,137,3.4,149.1,6.8,140.9,3.4,99,0,115.2,0,110.5,0,153.2,7.4,138.8,40.4,148.1,31.6,144.7,8.5,128.4,0,145.5
