,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones,Importaciones,Exportaciones
"PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA",1579.2,0.3,103.3,0,147.7,0,86.6,0,23.2,0.2,84.3,0,130.5,0,140.4,0,125.6,0,10.4,0.2,92.6,0,108.7,0,525.9,0
PLATANO,44.9,13028.7,0,805.2,0,941.7,28.3,705.2,9,729.4,0,838.8,0,903.8,0,1375.1,0,1149,0,1825.1,0,1020.5,7.7,1875.2,0,859.7
SEMILLA DE AJONJOLI,31.3,6467.4,3,305.7,0.1,340.8,0,694.7,3,394.7,23.5,564,0.5,277,1.1,440,0,287.6,0,557.6,0.1,896.6,0,739.9,0,968.9
TABACO EN RAMA O SIN ELABORAR,0,9386.3,0,0,0,0,0,0,0,77.4,0,0,0,474,0,2569.3,0,2212.3,0,1082.6,0,509.3,0,0,0,2461.5
TOMATE,0.2,12,0,0,0.2,0.8,0,0.8,0,0.4,0,0.5,0,0.6,0,0,0,1.1,0,0.4,0,0.4,0,2.3,0,4.7
TRIGO,95063.7,0.4,12955,0,4943.9,0,5163.9,0,6014.1,0.1,12837.9,0,4351.6,0,6186.6,0,7162.5,0,6247.6,0.1,14429.5,0,5683.8,0,9087.2,0
YUCA,4.3,58.3,0,5.7,1.3,17.3,0,8.1,0.3,0,0.6,2.4,0,6.4,0.7,0,0,13.2,0.1,1.3,0.3,0.1,0.2,1.3,0.8,2.6
INDUSTRIAS MANUFACTURERAS,3030659.4,1832047.4,225409.8,145501,214946.2,131644.7,259135.4,148591.1,215755.9,105681.9,285282.4,137132.1,262545.9,142201.7,258796.8,153409.8,262133.5,165651.3,233149.4,202833,275124.7,189542.6,286996.2,158771.4,251383.3,151086.9
ABONOS Y FERTILIZANTES,41119.1,432.4,4366,0,7308.3,0,3357.4,0,156.2,0,3198.2,0,13551,107.7,812.1,0,62.3,100.8,218.2,0,355.2,0,5523.6,0,2210.6,223.9
ACEITE DE SEMILLA DE ALGODON,350.6,0,0.5,0,0,0,277.4,0,0.2,0,0.4,0,2.4,0,62.5,0,2.9,0,0.6,0,0,0,1.5,0,2.3,0
ALIMENTOS PREPARADOS PARA ANIMALES,72918.2,795.2,5937.6,0,5048.5,0,9243.1,785.3,3558.8,0,6993.8,0,2641.6,9.5,6674.9,0,5459.7,0,4678.2,0.1,6474.6,0,8083.2,0.3,8124.3,0
APARATOS ELECTROMECANICOS DE USO DOMESTICO,55912.2,1290.5,3226,96.9,3034.5,91.6,4416.1,118.1,3840.6,91,10464.4,41.1,3062.4,30,4475.5,286.3,3456.8,76.6,4442.1,215.3,5664.8,113.4,6014.1,117.8,3814.9,12.3
APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO,7730,70.4,591.2,0.2,571,0.2,542.8,0.5,395.2,51.5,871.4,1.4,648,2.2,526.4,7.4,544.8,3.3,461.6,2.4,659.4,0.2,1037.7,0.8,880.4,0.2
APARATOS TRANSMISORES Y RECEPTORES,195200.2,717.8,11115.8,0.1,7808.7,105.1,14094.4,0.9,14205.4,11.7,19567.6,31.7,16608.6,7.1,18630.4,105.1,19040.5,43.6,15527.5,1.3,19220.9,56,23308.5,186.3,16071.9,168.8
ARMAS Y MUNICIONES,1242.1,10.5,90.5,0,35.8,0,76.4,0,227,0,50.1,0,38.1,0,146.7,0,74.5,0,124.6,10.5,62.1,0,50.9,0,265.3,0
ARTICULOS DE VESTUARIO,57404.9,1435745.4,4455.7,111042.3,4763.4,100728.6,4377,123615.3,4031.5,82069.5,4865.6,104976.2,5146.6,99974.7,5782.1,116865.1,5367.2,131138.8,4573.2,155849.6,4380.4,160748.6,4618,127644.9,5044.4,121091.8
AVES DE CORRAL BENEFICIADAS,27932.3,357,1483.7,0,1304.6,0,2013.6,0,1706.4,0,1292.9,0,3732.3,0,2770.6,0,1621.8,88.4,1532.3,179.3,3661.5,0,3884.4,0,2928.3,89.2
AZUCAR,151.7,53446.3,1.9,4981.1,10,3389.6,9.3,451.1,25.9,1875,0.9,0,9.3,15326,8.1,8351.4,10.7,3232,20.2,14977.9,14.2,0,9.6,0,31.6,862.3
AZUCARES Y ARTICULOS DE CONFITERIA,8992.5,832.3,651.9,167.2,705.8,120.5,780.6,18.5,542.1,1.3,650.4,11.8,652.7,2.4,520.9,0.2,935.1,12.7,891.5,26.6,948.8,126,854.3,164.8,858.3,180.4
BATERIAS ELECTRICAS,7594.7,632.2,580.1,0.7,709.9,17.2,718.3,171.3,611.6,169.9,374.3,76.2,458.8,94.5,398.9,13.7,662.3,20,639.3,0.8,423.6,0,759.9,67.9,1257.5,0
BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES,5166.6,3891.7,437.4,429.3,786.5,322.9,547.7,124.1,368.3,66.5,791,199.6,308.2,150.1,432.9,730.1,230.9,224,210.8,202,361.9,238.1,447.2,416.4,243.6,788.4
BORRA DE ALGODON (LINTERS),37.9,0,12,0,0,0,0,0,12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6,0
CAFE SOLUBLE Y MOLIDO,1363.2,512,50.8,0,116.6,2.2,15.7,0,522.7,501,69.2,2.2,20,1.9,45,1,72.1,0.2,37.7,1,26.2,0,341.6,1.9,45.6,0.7
CALZADO,15503.4,2530.6,980.8,137.1,1066,149,1473.4,362.2,994.6,145.1,1607.7,200.9,1361.5,219,1003,136.6,1076.9,243.9,1066.6,234.3,1503.3,318.1,1606.8,221.2,1762.9,163.1
CAMARON Y LANGOSTA,1774.7,28308.4,0.5,6296.4,172.4,889.9,220.1,1902.1,323.1,471.1,135.9,347.4,44.1,553.6,121.8,2014.2,8.3,1739.1,0,5312.5,418.4,3521.2,122.5,2731.1,207.4,2529.9
CARNE,9413.4,0,588.4,0,661.4,0,926.3,0,381,0,724.1,0,562.6,0,363.9,0,618,0,849.7,0,1579.1,0,1181.6,0,977.3,0
CERAS,2147.4,14975.1,301.6,1975.9,159.8,1258.7,240.4,1625.4,242.8,683.5,129.6,242,202.3,103.8,139.5,394.6,173.3,3530.7,157.1,2123.3,128.7,1568,182.9,1286.3,89.4,182.9
CLAVOS Y TORNILLOS,5879.2,118.9,421.3,37.3,738.5,2.9,807.7,1.6,356.9,0.8,432.8,8.4,614.9,5.8,433.7,33,461.7,2.5,404.2,6.9,397.1,3.9,406.5,1.2,403.9,14.6
DETERGENTES Y JABONES,6341.8,4811.8,552.7,117.1,553.6,141.2,458.4,70.8,532.7,888,580.2,227.2,460.6,404.9,415.3,752.2,600.5,147.1,475.8,493,623.9,688.8,651.2,772.6,436.9,109
"DISCOS, MATRICES Y CINTAS (DE GRABACION)",6854.6,13,404.1,0.1,447.6,1.2,481.8,0.4,378.5,0.4,489.5,0.4,489.4,1.5,380.1,1.1,594.6,2.2,838.2,3.6,1073.9,0.2,690,1.5,586.9,0.5
GRASAS Y ACEITES COMESTIBLES,56061.5,719.2,3341,88.9,2105.1,140.4,5290.9,7.8,4455.6,10.7,5083.4,51.2,7939,57.3,6474.2,72.9,3118.4,85.9,4421.1,13.1,5480.2,145.8,6060.7,0,2291.9,45
HARINAS DE CEREALES,6317.1,15.1,294.6,0.6,459.2,0.3,732.8,3.1,483,0.7,653.8,2.1,1078.1,2.1,608.5,0.3,624.2,1.2,463.8,0.6,281.3,0.6,433.4,1.7,204.5,1.8
HERRAMIENTAS ARTICULOS DE CUCHILLERIA,14144.3,208.1,1048.9,162.6,911.5,1.2,1340.4,4.6,778.9,0.3,1747.2,0.4,1189,2.2,1028.6,9.4,1269.9,6,947.9,3.3,1548.5,2.5,1182.3,15.4,1151.1,0.4
HILOS E HILAZAS,143659,5201.8,10396.5,339.4,9585.6,70.4,13081.4,523.1,11188.9,146.8,12050.9,177.8,13294.7,404.8,12518.9,497.8,11538.4,346.5,11828.5,488.1,13232.9,535.1,13084.9,773.7,11857.3,898.5
"INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES",18622.1,1389.5,1923.1,30.9,1851.5,0,1676.8,29.3,1668.6,11.9,1626.9,73.7,1704.9,18.7,934.5,438.4,1104.5,36.2,1070,31.4,1658.5,29.5,891.4,9,2511.2,680.4
INSTRUMENTAL MEDICO Y OTROS,65591.8,23852.5,4920,2414.1,4622,1286.6,5412.9,4058.5,3856.6,1786.3,5509.2,3447.6,4930.9,229.1,5025.2,3611,6108.7,2111.4,5284,1187.1,5664,1410.3,7809.2,940.3,6449.2,1370
JOYERIA DE FANTASIA,20.6,0,0,0,0.9,0,0.9,0,0.1,0,4.1,0,1.2,0,2,0,2.8,0,0.5,0,4.6,0,1.7,0,1.9,0
"JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES",22675.7,4060.2,1352.3,34.2,1312.6,52.4,1757.1,780.4,2453,299.7,1247.2,398.9,1379.6,91.7,1284,483.7,1794.6,205.7,1681.2,579.7,2440.3,489.2,3119.1,83.7,2854.8,560.8
LAMINA Y ALAMBRE,20613.4,5.1,3395.2,0,1091.7,0.1,1629.3,0,1094.9,0,1656.6,0,2267.2,0,1128.4,0.1,1480.8,0,1645.2,3.5,1859.2,0,1690.1,1.3,1674.9,0
LECHE Y OTROS PRODUCTOS LACTEOS,16316,92.2,1136.9,1,1472.4,6.9,1690.4,0.3,1035.7,0.9,1394,5.2,1494.4,0.7,1275.4,6.9,1099.7,7.6,931.1,9.5,1443.7,44.6,2144.2,7.2,1198.1,1.5
MADERA EN TROZA,137.8,0,0,0,0,0,0,0,59.5,0,0,0,0,0,26.2,0,1.5,0,0,0,0,0,22,0,28.4,0
MANUFACTURAS DE CAUCHO,13017.4,10212.3,1187.7,909.5,995.4,769.1,1183.3,969.5,871.4,536,1287.6,307.8,988.8,1296.3,987.1,818.4,1218.3,1191.5,1164.2,890.3,1001.9,866.2,1222.3,641.4,909.3,1016.2
MANUFACTURAS DE CERAMICA,3781.9,6493.8,280.6,212.3,192.6,205,370.4,437.6,407.5,415,333.3,773.8,385.2,847.5,273.5,552,312.5,592.6,293.4,308.8,371,921.8,239.5,536.7,322.4,690.7
